registry_record_id,registry_source_id,role,evidence_span,license_status
primitive.repo.code_templates_validate_iban_validate_iban_py.const.py_const_code_templates_validate_iban_validate_iban_iban_lengths,source_5bc3ffa5074478e8efa51431,derived_from,"{""line"": 8, ""symbol"": ""IBAN_LENGTHS""}",candidate
primitive.repo.code_templates_validate_iban_validate_iban_py.const.py_const_code_templates_validate_iban_validate_iban_iban_re,source_5bc3ffa5074478e8efa51431,derived_from,"{""line"": 21, ""symbol"": ""IBAN_RE""}",candidate
primitive.repo.code_templates_validate_iban_validate_iban_py.function.py_function_code_templates_validate_iban_validate_iban_run,source_5bc3ffa5074478e8efa51431,derived_from,"{""line"": 24, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_validate_luhn_validate_luhn_py.function.py_function_code_templates_validate_luhn_validate_luhn_luhn_check,source_15699b7a0d93dd71abefbaa7,derived_from,"{""line"": 11, ""symbol"": ""luhn_check""}",candidate
primitive.repo.code_templates_validate_luhn_validate_luhn_py.function.py_function_code_templates_validate_luhn_validate_luhn_run,source_15699b7a0d93dd71abefbaa7,derived_from,"{""line"": 28, ""symbol"": ""run""}",candidate
primitive.repo.hf_space_app_py.const.py_const_hf_space_app_here,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 22, ""symbol"": ""py_const_hf_space_app__HERE""}",candidate
primitive.repo.hf_space_app_py.const.py_const_hf_space_app_root,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 23, ""symbol"": ""py_const_hf_space_app__ROOT""}",candidate
primitive.repo.hf_space_app_py.const.py_const_hf_space_app_catalog,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 29, ""symbol"": ""py_const_hf_space_app__CATALOG""}",candidate
primitive.repo.hf_space_app_py.const.py_const_hf_space_app_pipelines,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 30, ""symbol"": ""py_const_hf_space_app__PIPELINES""}",candidate
primitive.repo.hf_space_app_py.function.py_function_hf_space_app_render_pipeline_card,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 35, ""symbol"": ""py_function_hf_space_app__render_pipeline_card""}",candidate
primitive.repo.hf_space_app_py.function.py_function_hf_space_app_sample_inputs_text,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 64, ""symbol"": ""py_function_hf_space_app__sample_inputs_text""}",candidate
primitive.repo.hf_space_app_py.function.py_function_hf_space_app_run_handler,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 90, ""symbol"": ""py_function_hf_space_app__run_handler""}",candidate
primitive.repo.hf_space_app_py.function.py_function_hf_space_app_build_app,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 116, ""symbol"": ""py_function_hf_space_app__build_app""}",candidate
primitive.repo.hf_space_app_py.var.py_var_hf_space_app_app,source_d45da9073e98fca0ca2ca680,derived_from,"{""line"": 162, ""symbol"": ""py_var_hf_space_app__app""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_repo_root,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 23, ""symbol"": ""REPO_ROOT""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_catalog_dir,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 24, ""symbol"": ""CATALOG_DIR""}",candidate
